tipo,vendor,producto,cantidad_cves,v31_score_promedio,v31_score_maximo
Aplicación,joomla,joomla\!,100,7.8,9.8
Sistema Operativo,microsoft,windows_server_2008,57,8.11,9.8
Sistema Operativo,microsoft,windows_7,56,8.08,9.8
Sistema Operativo,microsoft,windows_vista,52,8.0,9.8
Sistema Operativo,microsoft,windows_8.1,48,8.19,9.8
Sistema Operativo,microsoft,windows_server_2012,48,8.09,9.8
Sistema Operativo,opensuse,opensuse,46,8.69,9.8
Sistema Operativo,microsoft,windows,44,8.63,9.8
Sistema Operativo,apple,mac_os_x,41,8.7,9.8
Sistema Operativo,linux,linux_kernel,38,8.08,9.8
Sistema Operativo,redhat,enterprise_linux_server,37,8.66,9.8
Sistema Operativo,microsoft,windows_rt_8.1,37,7.99,9.8
Sistema Operativo,redhat,enterprise_linux_desktop,36,8.66,9.8
Sistema Operativo,redhat,enterprise_linux_workstation,36,8.68,9.8
Sistema Operativo,suse,linux_enterprise_desktop,34,8.9,9.8
Aplicación,adobe,flash_player,32,8.98,9.8
Sistema Operativo,microsoft,windows_8,32,8.51,9.8
Sistema Operativo,microsoft,windows_server_2003,29,8.4,9.8
Sistema Operativo,redhat,enterprise_linux_eus,28,8.29,9.8
Sistema Operativo,redhat,enterprise_linux_server_aus,24,8.63,9.8
Sistema Operativo,canonical,ubuntu_linux,24,8.08,9.8
Sistema Operativo,microsoft,windows_rt,24,8.37,9.8
Sistema Operativo,debian,debian_linux,24,8.82,10.0
Aplicación,microsoft,internet_explorer,23,8.24,9.8
Sistema Operativo,microsoft,windows_10_1507,21,7.79,9.8
Aplicación,microsoft,office,20,8.17,8.8
Aplicación,wordpress,wordpress,20,9.8,9.8
Sistema Operativo,microsoft,windows_xp,20,8.34,9.8
Aplicación,adobe,acrobat,18,8.38,9.8
Sistema Operativo,suse,linux_enterprise_server,17,8.41,9.8
Aplicación,adobe,acrobat_reader,16,8.38,9.8
Sistema Operativo,microsoft,windows_10_1511,15,7.59,8.8
Aplicación,joomla,joomla,13,,
Aplicación,oracle,jre,13,9.26,9.8
Sistema Operativo,google,android,12,8.09,9.8
Sistema Operativo,suse,linux_enterprise_workstation_extension,12,8.55,9.8
Sistema Operativo,suse,linux_enterprise_software_development_kit,12,8.06,9.8
Aplicación,microsoft,office_compatibility_pack,11,8.07,8.8
Sistema Operativo,microsoft,windows_10_1607,10,7.45,8.8
Sistema Operativo,google,chrome_os,9,9.02,9.8
Sistema Operativo,opensuse,evergreen,9,9.47,9.8
Sistema Operativo,redhat,enterprise_linux_server_from_rhui,9,8.15,9.8
Sistema Operativo,oracle,solaris,9,7.2,9.8
Aplicación,apache,struts,9,9.03,9.8
Sistema Operativo,apple,macos,9,8.82,9.8
Sistema Operativo,apple,iphone_os,8,7.96,9.8
Sistema Operativo,redhat,enterprise_linux_server_tus,8,8.38,9.8
Aplicación,netsweeper,netsweeper,8,6.46,9.8
Sistema Operativo,redhat,enterprise_linux,8,8.52,9.8
Sistema Operativo,redhat,enterprise_linux_for_ibm_z_systems,7,8.37,9.8
Sistema Operativo,opensuse,leap,7,7.26,9.8
Sistema Operativo,fedoraproject,fedora,7,8.4,10.0
Sistema Operativo,microsoft,windows_10,7,8.78,9.8
Sistema Operativo,redhat,enterprise_linux_for_power_big_endian_eus,7,7.51,9.8
Aplicación,adobe,coldfusion,7,8.26,9.8
Sistema Operativo,oracle,linux,7,8.21,9.8
Sistema Operativo,redhat,enterprise_linux_for_power_big_endian,7,8.02,9.8
Aplicación,oracle,jdk,7,9.72,9.8
Sistema Operativo,redhat,enterprise_linux_server_eus,6,8.3,9.8
Aplicación,suse,linux_enterprise_debuginfo,6,7.46,9.8
Aplicación,oracle,fusion_middleware,6,8.36,9.8
Aplicación,microsoft,word,6,7.95,8.8
Aplicación,microsoft,excel_viewer,6,8.18,8.8
Aplicación,adobe,air,6,8.25,8.8
Sistema Operativo,microsoft,windows_server_2016,6,7.92,8.8
Aplicación,adobe,flash_player_desktop_runtime,6,9.3,9.8
Aplicación,sap,netweaver_application_server_java,5,7.82,10.0
Aplicación,adobe,air_sdk_\&_compiler,5,9.0,9.8
Aplicación,adobe,air_sdk,5,9.0,9.8
Aplicación,filezilla-project,filezilla_server,5,7.5,7.5
Aplicación,microsoft,edge,5,8.74,9.8
Aplicación,microsoft,word_viewer,5,8.2,8.8
Aplicación,mozilla,firefox,5,9.45,9.8
Aplicación,redhat,gluster_storage_server_for_on-premise,5,8.94,9.8
Aplicación,google,chrome,5,8.8,9.8
Sistema Operativo,redhat,enterprise_linux_for_ibm_z_systems_eus,5,6.49,9.8
Aplicación,mozilla,thunderbird,4,9.41,9.8
Aplicación,south_river_technologies,titan_ftp_server,4,,
Aplicación,redhat,jboss_enterprise_application_platform,4,6.88,8.8
Aplicación,proftpd,proftpd,4,9.8,9.8
Aplicación,microsoft,open_xml_file_format_converter,4,7.8,7.8
Sistema Operativo,microsoft,windows_2000,4,7.8,7.8
Aplicación,microsoft,sharepoint_server,4,8.05,8.8
Aplicación,netapp,oncommand_insight,4,9.6,10.0
Sistema Operativo,redhat,enterprise_linux_for_power_little_endian,4,6.52,9.8
Sistema Operativo,opengroup,unix,4,8.65,9.8
Sistema Operativo,redhat,enterprise_linux_for_power_little_endian_eus,4,6.49,9.8
Aplicación,microsoft,silverlight,4,7.48,8.8
Aplicación,microsoft,excel,4,8.24,8.8
Aplicación,microsoft,powerpoint,4,8.6,8.8
Sistema Operativo,suse,linux_enterprise,4,8.02,8.8
Sistema Operativo,redhat,enterprise_linux_for_scientific_computing,4,8.04,9.8
Sistema Operativo,cisco,ios,3,6.7,7.5
Sistema Operativo,microsoft,windows_2003_server,3,8.3,8.8
Aplicación,apache,tomcat,3,9.8,9.8
Sistema Operativo,cisco,ios_xr,3,6.05,7.5
Sistema Operativo,suse,linux_enterprise_java,3,9.8,9.8
Aplicación,suse,openstack_cloud,3,6.93,9.8
Aplicación,squirrelmail,squirrelmail,3,,
Aplicación,newstatpress_project,newstatpress,3,,
Aplicación,f5,big-ip_webaccelerator,3,8.37,9.8
Aplicación,f5,big-ip_access_policy_manager,3,8.94,9.8
Aplicación,redhat,virtualization,3,9.03,9.8
Aplicación,cisco,unified_communications_manager,3,10.0,10.0
Sistema Operativo,cisco,adaptive_security_appliance_software,3,7.57,8.8
Aplicación,suse,manager_proxy,3,6.93,9.8
Aplicación,vsftpd_project,vsftpd,3,9.8,9.8
Aplicación,f5,big-ip_local_traffic_manager,3,8.94,9.8
Aplicación,f5,big-ip_link_controller,3,8.94,9.8
Aplicación,f5,big-ip_global_traffic_manager,3,8.94,9.8
Aplicación,f5,big-ip_wan_optimization_manager,3,8.37,9.8
Aplicación,f5,big-ip_edge_gateway,3,8.37,9.8
Aplicación,f5,big-ip_application_security_manager,3,8.94,9.8
Aplicación,f5,big-ip_protocol_security_module,3,8.37,9.8
Aplicación,f5,big-ip_policy_enforcement_manager,3,8.94,9.8
Aplicación,f5,big-ip_application_acceleration_manager,3,8.94,9.8
Aplicación,microsoft,office_web_apps,3,7.8,7.8
Aplicación,f5,big-ip_analytics,3,8.94,9.8
Aplicación,microsoft,office_word_viewer,3,8.05,8.8
Aplicación,f5,big-iq_cloud,3,8.37,9.8
Aplicación,redhat,satellite,3,8.3,9.8
Aplicación,imagemagick,imagemagick,3,6.47,8.4
Aplicación,f5,enterprise_manager,3,7.65,9.8
Aplicación,gnu,bash,3,8.87,9.8
Aplicación,hp,system_management_homepage,3,9.3,9.8
Aplicación,f5,big-ip_advanced_firewall_manager,3,8.94,9.8
Aplicación,netapp,oncommand_balance,3,8.53,9.8
Aplicación,adobe,air_desktop_runtime,3,9.13,9.8
Aplicación,f5,big-iq_security,3,8.37,9.8
Aplicación,tiki,tikiwiki_cms\/groupware,3,7.95,9.8
Aplicación,suse,manager,3,6.93,9.8
Aplicación,southrivertech,titan_ftp_server,3,,
Aplicación,f5,big-iq_device,3,8.37,9.8
Hardware,cisco,asa_5545-x,2,8.3,8.8
Hardware,cisco,asa_5550,2,8.3,8.8
Hardware,cisco,asa_5540,2,8.3,8.8
Hardware,citrix,netscaler_sdx,2,9.8,9.8
Hardware,ibm,san_volume_controller,2,9.8,9.8
Hardware,ibm,storwize_v7000,2,9.8,9.8
Hardware,ibm,storwize_v5000,2,9.8,9.8
Hardware,ibm,storwize_v3700,2,9.8,9.8
Hardware,ibm,storwize_v3500,2,9.8,9.8
Hardware,ibm,stn7800,2,9.8,9.8
Hardware,ibm,stn6800,2,9.8,9.8
Hardware,ibm,stn6500,2,9.8,9.8
Hardware,cisco,pix_firewall_515e,2,8.3,8.8
Hardware,cisco,pix_firewall_535,2,8.3,8.8
Hardware,cisco,pix_firewall_525,2,8.3,8.8
Hardware,cisco,pix_firewall_520,2,8.3,8.8
Hardware,cisco,pix_firewall_506e,2,8.3,8.8
Hardware,cisco,pix_firewall_515,2,8.3,8.8
Hardware,cisco,pix_firewall_506,2,8.3,8.8
Hardware,cisco,pix_firewall_501,2,8.3,8.8
Sistema Operativo,mageia,mageia,2,9.8,9.8
Aplicación,chyrp,chyrp,2,,
Sistema Operativo,ibm,security_access_manager_for_web_8.0_firmware,2,9.8,9.8
Aplicación,checkpoint,security_gateway,2,9.8,9.8
Sistema Operativo,ibm,flex_system_v7000_firmware,2,9.8,9.8
Sistema Operativo,ibm,storwize_v3700_firmware,2,9.8,9.8
Sistema Operativo,ibm,storwize_v5000_firmware,2,9.8,9.8
Sistema Operativo,ibm,storwize_v7000_firmware,2,9.8,9.8
Sistema Operativo,ibm,stn6500_firmware,2,9.8,9.8
Sistema Operativo,ibm,stn6800_firmware,2,9.8,9.8
Sistema Operativo,ibm,security_access_manager_for_mobile_8.0_firmware,2,9.8,9.8
Sistema Operativo,ibm,security_access_manager_for_web_7.0_firmware,2,9.8,9.8
Sistema Operativo,ibm,san_volume_controller_firmware,2,9.8,9.8
Sistema Operativo,qnap,qts,2,9.8,9.8
Sistema Operativo,novell,open_enterprise_server,2,9.8,9.8
Sistema Operativo,microsoft,windows_nt,2,7.8,7.8
Sistema Operativo,redhat,enterprise_linux_hpc_node,2,5.5,5.5
Sistema Operativo,redhat,enterprise_linux_hpc_node_eus,2,5.5,5.5
Sistema Operativo,suse,linux_enterprise_real_time_extension,2,7.8,7.8
Sistema Operativo,suse,linux_enterprise_high_availability_extension,2,8.8,9.8
Sistema Operativo,redhat,enterprise_linux_server_supplementary_eus,2,5.5,5.5
Sistema Operativo,vmware,esx,2,9.8,9.8
Aplicación,apple,xcode,2,10.0,10.0
Aplicación,apache,activemq,2,9.8,9.8
Hardware,f5,arx,2,9.8,9.8
Hardware,ibm,flex_system_v7000,2,9.8,9.8
Sistema Operativo,arista,eos,2,9.8,9.8
Sistema Operativo,ibm,storwize_v3500_firmware,2,9.8,9.8
Sistema Operativo,ibm,stn7800_firmware,2,9.8,9.8
Sistema Operativo,citrix,netscaler_sdx_firmware,2,9.8,9.8
Sistema Operativo,f5,arx_firmware,2,9.8,9.8
Sistema Operativo,fortinet,fortios,2,,
Hardware,cisco,asa_5500,2,8.3,8.8
Hardware,cisco,asa_5585-x,2,8.3,8.8
Hardware,cisco,asa_5580,2,8.3,8.8
Hardware,cisco,asa_5555-x,2,8.3,8.8
Aplicación,microsoft,visual_basic,2,8.8,8.8
Aplicación,microsoft,visio,2,8.13,8.8
Aplicación,netapp,oncommand_shift,2,9.8,9.8
Aplicación,exim,exim,2,8.8,9.8
Aplicación,phppgadmin,phppgadmin,2,,
Aplicación,opsview,opsview,2,,
Aplicación,redhat,storage,2,8.65,9.8
Aplicación,redhat,fuse,2,9.8,9.8
Aplicación,oracle,weblogic_server,2,9.8,9.8
Hardware,cisco,asa_5506w-x,2,8.3,8.8
Hardware,cisco,asa_5505,2,8.3,8.8
Hardware,cisco,asa_5500_csc-ssm,2,8.3,8.8
Aplicación,xceedium,xsuite,2,,
Aplicación,wordpress,sniplets_plugin,2,,
Hardware,cisco,asa_5525-x,2,8.3,8.8
Hardware,cisco,asa_5520,2,8.3,8.8
Hardware,cisco,asa_5515-x,2,8.3,8.8
Hardware,cisco,asa_5516-x,2,8.3,8.8
Hardware,cisco,asa_5512-x,2,8.3,8.8
Hardware,cisco,asa_5510,2,8.3,8.8
Hardware,cisco,asa_5506-x,2,8.3,8.8
Hardware,cisco,asa_5508-x,2,8.3,8.8
Aplicación,vmware,vcenter_server_appliance,2,9.8,9.8
Aplicación,themepunch,showbiz_pro,2,9.8,9.8
Aplicación,suse,studio_onsite,2,9.8,9.8
Aplicación,sun,jre,2,9.8,9.8
Aplicación,suse,linux_enterprise_module_for_legacy,2,7.55,9.8
Aplicación,rubyonrails,rails,2,7.5,7.5
Hardware,cisco,asa_5500-x,2,8.3,8.8
Hardware,cisco,asa_5506h-x,2,8.3,8.8
Aplicación,mozilla,thunderbird_esr,2,7.65,8.8
Aplicación,netapp,oncommand_unified_manager,2,9.47,9.8
Aplicación,novell,zenworks_configuration_management,2,9.8,9.8
Aplicación,netapp,oncommand_performance_manager,2,8.4,9.8
Aplicación,elasticsearch,elasticsearch,2,,
Aplicación,microsoft,outlook,2,8.55,8.8
Aplicación,microsoft,commerce_server,2,8.8,8.8
Aplicación,microsoft,lync,2,7.8,7.8
Aplicación,microsoft,office_web_components,2,8.8,8.8
Aplicación,microsoft,visual_foxpro,2,8.8,8.8
Aplicación,elastic,elasticsearch,2,8.95,9.8
Aplicación,microsoft,office_excel_viewer,2,8.3,8.8
Aplicación,magmi_project,magmi,2,,
Aplicación,f5,traffix_signaling_delivery_controller,2,9.8,9.8
Aplicación,ibm,qradar_security_information_and_event_manager,2,9.8,9.8
Aplicación,ibm,qradar_risk_manager,2,9.8,9.8
Aplicación,ibm,pureapplication_system,2,9.8,9.8
Aplicación,ibm,infosphere_guardium_database_activity_monitoring,2,9.8,9.8
Aplicación,hp,version_control_repository_manager,2,9.47,9.8
Aplicación,ibm,workload_deployer,2,9.8,9.8
Aplicación,jenkins,jenkins,2,7.5,7.5
Aplicación,hp,systems_insight_manager,2,9.3,9.8
Aplicación,ibm,starter_kit_for_cloud,2,9.8,9.8
Aplicación,ibm,software_defined_network_for_virtual_environments,2,9.8,9.8
Aplicación,ibm,smartcloud_provisioning,2,9.8,9.8
Aplicación,ibm,smartcloud_entry_appliance,2,9.8,9.8
Aplicación,ibm,qradar_vulnerability_manager,2,9.8,9.8
Aplicación,hdw-tube_project,hdw-tube,2,,
Sistema Operativo,suse,suse_linux_enterprise_server,2,6.47,8.4
Aplicación,adobe,adobe_air,2,8.8,8.8
Aplicación,adobe,blazeds,1,6.5,6.5
Aplicación,adobe,dispatcher,1,,
Sistema Operativo,vmware,esxi,1,7.8,7.8
Aplicación,11in1,11in1,1,,
Aplicación,4you-studio,com_jphone,1,,
Aplicación,ab_google_map_travel_project,ab_google_map_travel,1,,
Sistema Operativo,seagate,blackarmor_nas_220_firmware,1,,
Sistema Operativo,siemens,6bk1602-0aa12-0tp0_firmware,1,10.0,10.0
Sistema Operativo,siemens,6bk1602-0aa22-0tp0_firmware,1,10.0,10.0
Sistema Operativo,siemens,6bk1602-0aa32-0tp0_firmware,1,10.0,10.0
Sistema Operativo,siemens,6bk1602-0aa42-0tp0_firmware,1,10.0,10.0
Sistema Operativo,siemens,6bk1602-0aa52-0tp0_firmware,1,10.0,10.0
Sistema Operativo,siemens,application_processing_engine_firmware,1,7.5,7.5
Sistema Operativo,siemens,cp_1543-1_firmware,1,7.5,7.5
