cve_id,cwe,cvss_v31_base_score,cvss_v31_exploitability_score,cvss_v31_impact_score,cvss_v2_base_score,cvss_v2_exploitability_score,cvss_v2_impact_score,fuente_cisa,fuente_nuclei
CVE-2000-0114,NVD-CWE-Other,,,,5.0,10.0,2.9,False,True
CVE-2000-0760,NVD-CWE-Other,,,,6.4,10.0,4.9,False,True
CVE-2001-0537,CWE-287,,,,9.3,8.6,10.0,False,True
CVE-2001-1473,CWE-310,,,,7.5,10.0,6.4,False,True
CVE-2002-0367,CWE-269,7.8,1.8,5.9,7.2,3.9,10.0,True,False
CVE-2002-1131,NVD-CWE-Other,,,,7.5,10.0,6.4,False,True
CVE-2004-0210,CWE-120,7.8,1.8,5.9,7.2,3.9,10.0,True,False
CVE-2004-0437,NVD-CWE-Other,,,,5.0,10.0,2.9,False,True
CVE-2004-0519,NVD-CWE-Other,,,,6.8,8.6,6.4,False,True
CVE-2004-0656,NVD-CWE-Other,,,,5.0,10.0,2.9,False,True
CVE-2004-1464,CWE-400,5.9,2.2,3.6,5.0,10.0,2.9,True,False
CVE-2004-1602,CWE-203,,,,5.0,10.0,2.9,False,True
CVE-2004-1641,NVD-CWE-Other,,,,5.0,10.0,2.9,False,True
CVE-2004-1965,NVD-CWE-Other,,,,4.3,8.6,2.9,False,True
CVE-2004-2687,CWE-16,,,,9.3,8.6,10.0,False,True
CVE-2005-0850,CWE-20,,,,5.0,10.0,2.9,False,True
CVE-2005-0851,CWE-835,,,,5.0,10.0,2.9,False,True
CVE-2005-2428,NVD-CWE-Other,,,,5.0,10.0,2.9,False,True
CVE-2005-2773,CWE-77,9.8,3.9,5.9,7.5,10.0,6.4,True,False
CVE-2005-3128,NVD-CWE-Other,,,,4.3,8.6,2.9,False,True
CVE-2005-3344,NVD-CWE-Other,,,,10.0,10.0,10.0,False,True
CVE-2005-3634,NVD-CWE-Other,,,,5.0,10.0,2.9,False,True
CVE-2005-4385,NVD-CWE-Other,,,,4.3,8.6,2.9,False,True
CVE-2006-1547,NVD-CWE-Other,7.5,3.9,3.6,7.8,10.0,6.9,True,False
CVE-2006-1547,CWE-749,7.5,3.9,3.6,7.8,10.0,6.9,True,False
