cwe,cantidad_cves,v31_score_promedio,v31_score_maximo,v31_exploitability_promedio,v2_score_promedio,v2_score_maximo
SIN_CWE,4578,,,,,
CWE-22,200,7.61,9.8,3.67,6.06,10.0
CWE-79,94,6.09,7.2,2.8,4.27,4.3
NVD-CWE-noinfo,85,8.12,10.0,2.71,7.6,10.0
CWE-787,34,8.4,9.8,2.42,9.03,10.0
NVD-CWE-Other,34,8.28,9.8,3.2,6.27,10.0
CWE-20,26,8.24,10.0,2.84,7.04,10.0
CWE-416,21,8.86,9.8,3.01,9.23,10.0
CWE-94,17,8.97,9.8,3.01,8.85,10.0
CWE-119,15,8.73,9.8,2.71,8.86,10.0
CWE-284,13,8.43,9.8,3.59,7.67,10.0
CWE-89,13,9.15,9.8,3.22,7.35,7.5
CWE-200,12,7.38,8.8,3.26,5.7,10.0
CWE-77,12,9.3,9.8,3.37,8.23,10.0
CWE-120,10,8.24,9.8,2.26,8.2,10.0
CWE-287,8,9.8,9.8,3.9,8.28,10.0
CWE-601,7,5.63,6.1,2.8,5.37,5.8
CWE-78,7,9.2,9.8,3.27,9.42,10.0
CWE-264,7,7.2,7.8,1.25,7.69,10.0
CWE-190,7,8.63,9.8,2.65,8.4,10.0
CWE-434,6,9.8,9.8,3.9,7.5,7.5
CWE-121,4,8.45,8.8,2.48,8.95,10.0
CWE-269,4,8.55,9.8,2.58,7.8,9.3
CWE-125,3,7.93,8.8,3.53,6.43,9.3
CWE-843,3,9.13,9.8,3.17,8.97,10.0
CWE-749,3,6.77,7.5,3.9,5.93,7.8
CWE-918,3,6.9,8.3,2.85,4.3,4.3
CWE-502,3,9.87,10.0,3.9,8.93,10.0
CWE-400,3,7.95,10.0,3.05,6.1,9.3
CWE-306,3,10.0,10.0,3.9,9.65,10.0
CWE-352,3,8.4,8.8,2.45,7.63,9.3
CWE-917,2,9.4,10.0,3.35,8.05,9.3
CWE-59,2,7.8,7.8,1.8,6.5,7.2
CWE-362,2,6.25,7.0,1.4,7.05,7.2
CWE-255,2,8.8,8.8,2.8,9.5,10.0
CWE-693,2,7.55,9.8,3.9,7.5,10.0
CWE-611,2,7.0,7.5,3.35,4.5,5.0
CWE-122,1,9.8,9.8,3.9,10.0,10.0
CWE-426,1,7.8,7.8,1.8,6.9,6.9
CWE-346,1,8.8,8.8,2.8,4.3,4.3
CWE-310,1,,,,7.5,7.5
CWE-312,1,5.7,5.7,2.1,6.8,6.8
CWE-319,1,,,,5.0,5.0
CWE-321,1,9.8,9.8,3.9,6.8,6.8
CWE-276,1,9.8,9.8,3.9,10.0,10.0
CWE-19,1,,,,6.5,6.5
CWE-189,1,8.4,8.4,2.5,7.2,7.2
CWE-16,1,,,,9.3,9.3
CWE-124,1,8.8,8.8,2.8,9.3,9.3
CWE-1284,1,7.8,7.8,1.8,7.2,7.2
CWE-209,1,6.5,6.5,3.9,4.3,4.3
CWE-203,1,,,,5.0,5.0
CWE-191,1,9.8,9.8,3.9,10.0,10.0
CWE-415,1,8.8,8.8,2.8,10.0,10.0
CWE-347,1,5.5,5.5,1.8,7.6,7.6
CWE-665,1,6.5,6.5,2.8,4.3,4.3
CWE-476,1,,,,4.0,4.0
CWE-74,1,9.8,9.8,3.9,9.3,9.3
CWE-522,1,8.8,8.8,2.8,9.0,9.0
CWE-552,1,5.5,5.5,1.8,5.8,5.8
CWE-90,1,,,,7.5,7.5
CWE-88,1,9.8,9.8,3.9,7.5,7.5
CWE-862,1,7.5,7.5,3.9,5.0,5.0
CWE-835,1,,,,5.0,5.0
CWE-798,1,9.8,9.8,3.9,7.5,7.5
CWE-824,1,8.8,8.8,2.8,9.3,9.3
CWE-93,1,,,,4.3,4.3
CWE-912,1,9.8,9.8,3.9,,
